ID,Action,Message,Ack,Description
1,Listen to callee changes,W|LC+,W|A|LC+,
2,Unlisten to callee changes,W|ULC+,W|A|ULC+,
3,Register callee,W|RC|calleeA+,W|A|RC|calleeA+,
3,Unregister callee,W|URC|calleeA+,W|A|URC|calleeA+,
4,Make call,"W|OF|O{sdp:sdp,type:type,meta:metaData}+",,
5,Accept call,-,,
6,Decline call,W|CD|localId|remoteId|reason+,,
7,End Call,W|CE|localId|remoteId|null+,,
8,Initial callee list update received,W|WAC|calleeA|calleeB|calleeC+,,
9,Callee added message received,W|WCA|calleeName+,,
10,Callee removed message received,W|WCR|calleeName+,,
E1,Invalid Message,E|E|INVALID_MESSAGE_DATA|invalidMessage+,,
E2,Unknown Action,E|E|UNKNOWN_ACTION|unknown action actionName+,,
